q1,q2,q1_example_answers,generated_impostor_answer,generated_impostor_raw,judge_choice,judge_raw_output,judge_valid_output,blended_in,caught,pair_index,round_num
fast food chain,pizza place,"['mcdonalds', 'wendys']",pizza hut,pizza hut,yes,yes,True,True,False,61,0
fast food chain,pizza place,"['mcdonalds', 'subway']",pizzahut,pizzahut,no,no,True,False,True,61,1
fast food chain,pizza place,"['dominos', 'chipotle']",pizza hut,pizza hut,yes,yes,True,True,False,61,2
fast food chain,pizza place,"['sonic', 'mcdonalds']",pizza hut,pizza Hut,yes,yes,True,True,False,61,3
fast food chain,pizza place,"['subway', 'taco bell']",pizza hut,pizza hut,yes,yes,True,True,False,61,4
hand tool,gardening tool,"['chisel', 'drill']",pruner,pruner,yes,yes,True,True,False,62,0
hand tool,gardening tool,"['pliers', 'sander']",pruning shears,pruning shears,yes,yes,True,True,False,62,1
hand tool,gardening tool,"['hammer', 'allen key']",pruning shears,pruning shears,yes,yes,True,True,False,62,2
hand tool,gardening tool,"['trowel', 'shears']",pruner,pruner,yes,yes,True,True,False,62,3
hand tool,gardening tool,"['utility knife', 'drill']",pruning shears,pruning shears,yes,yes,True,True,False,62,4
flying insect,stinging insect,"['moth', 'yellow jacket']",hornet,hornet,no,no,True,False,True,63,0
flying insect,stinging insect,"['bee', 'gnat']",antispider,antispider,no,no,True,False,True,63,1
flying insect,stinging insect,"['mosquito', 'moth']",hornet,hornet,no,no,True,False,True,63,2
flying insect,stinging insect,"['mosquito', 'dragonfly']",hornet,hornet,no,no,True,False,True,63,3
flying insect,stinging insect,"['gnat', 'ladybug']",hornet,hornet,no,no,True,False,True,63,4
carnivore,african animal,"['jaguar', 'hawk']",crocodile,crocodile,yes,yes,True,True,False,64,0
carnivore,african animal,"['hawk', 'fox']",lion,lion,yes,yes,True,True,False,64,1
carnivore,african animal,"['shark', 'snake']",elephant,elephant,no,no,True,False,True,64,2
carnivore,african animal,"['jaguar', 'bear']",lion,lion,yes,yes,True,True,False,64,3
carnivore,african animal,"['hyena', 'crocodile']",lion,lion,yes,yes,True,True,False,64,4
footwear,winter clothing,"['wedges', 'heels']",coat,coat,no,no,True,False,True,65,0
footwear,winter clothing,"['loafers', 'sandals']",scarf,scarf,no,no,True,False,True,65,1
footwear,winter clothing,"['wedges', 'flats']",boots,boots,yes,yes,True,True,False,65,2
footwear,winter clothing,"['boots', 'moccasins']",mittens,mittens,no,no,True,False,True,65,3
footwear,winter clothing,"['water shoes', 'boots']",snow pants,snow pants,no,no,True,False,True,65,4
red fruit,berry,"['pomegranate', 'guava']",strawberry,strawberry,yes,yes,True,True,False,66,0
red fruit,berry,"['cranberry', 'rhubarb']",strawberry,strawberry,yes,yes,True,True,False,66,1
red fruit,berry,"['tomato', 'guava']",raspberry,raspberry,yes,yes,True,True,False,66,2
red fruit,berry,"['dragon fruit', 'redcurrant']",strawberry,strawberry,yes,yes,True,True,False,66,3
red fruit,berry,"['apple', 'watermelon']",raspberry,raspberry,yes,yes,True,True,False,66,4
party game,card game,"['codenames', 'cranium']",rummy,rummy,no,no,True,False,True,67,0
party game,card game,"['taboo', 'codenames']",bid whist,bid whist,no,no,True,False,True,67,1
party game,card game,"['pictionary', 'heads up']",blackjack,blackjack,no,no,True,False,True,67,2
party game,card game,"['apples to apples', 'scattergories']",poker,poker,no,no,True,False,True,67,3
party game,card game,"['cards against humanity', 'heads up']",blackjack,blackjack,no,no,True,False,True,67,4
hot drink,caffeinated drink,"['broth', 'espresso']",coffee,coffee,yes,yes,True,True,False,68,0
hot drink,caffeinated drink,"['espresso', 'coffee']",mocha,mocha,yes,yes,True,True,False,68,1
hot drink,caffeinated drink,"['hot chocolate', 'warm milk']",coffee,coffee,yes,yes,True,True,False,68,2
hot drink,caffeinated drink,"['hot chocolate', 'mocha']",espresso,espresso,no,no,True,False,True,68,3
hot drink,caffeinated drink,"['chai', 'latte']",tea,tea,yes,yes,True,True,False,68,4
furniture,wood object,"['desk', 'bench']",mantelpiece,mantelpiece,yes,yes,True,True,False,69,0
furniture,wood object,"['dresser', 'ottoman']",fireplace,fireplace,no,no,True,False,True,69,1
furniture,wood object,"['nightstand', 'recliner']",table,table,yes,yes,True,True,False,69,2
furniture,wood object,"['bed', 'sofa']",table,table,yes,yes,True,True,False,69,3
furniture,wood object,"['chair', 'recliner']",book,book,no,no,True,False,True,69,4
reptile,pet,"['alligator', 'crocodile']",dog,dog,no,no,True,False,True,70,0
reptile,pet,"['cobra', 'tortoise']",fish,fish,no,no,True,False,True,70,1
reptile,pet,"['lizard', 'iguana']",dog,dog,no,no,True,False,True,70,2
reptile,pet,"['chameleon', 'lizard']",dog,dog,no,no,True,False,True,70,3
reptile,pet,"['alligator', 'skink']",rabbit,rabbit,no,no,True,False,True,70,4
breakfast food,baked good,"['pancakes', 'hash browns']",bagel,bagel,yes,yes,True,True,False,71,0
breakfast food,baked good,"['sausage', 'hash browns']",bagel,bagel,yes,yes,True,True,False,71,1
breakfast food,baked good,"['waffles', 'french toast']",croissant,croissant,yes,yes,True,True,False,71,2
breakfast food,baked good,"['cereal', 'bacon']",pancake,pancake,yes,yes,True,True,False,71,3
breakfast food,baked good,"['eggs', 'toast']",baguette,baguette,no,no,True,False,True,71,4
precious metal,jewelry material,"['osmium', 'gold']",silver,silver,yes,yes,True,True,False,72,0
precious metal,jewelry material,"['ruthenium', 'silver']",gold,gold,yes,yes,True,True,False,72,1
precious metal,jewelry material,"['brass', 'iridium']",gold,gold,yes,yes,True,True,False,72,2
precious metal,jewelry material,"['titanium', 'osmium']",gold,gold,yes,yes,True,True,False,72,3
precious metal,jewelry material,"['titanium', 'osmium']",gold,gold,yes,yes,True,True,False,72,4
transport with wheels,public transport,"['stroller', 'wheelchair']",bus,bus,yes,yes,True,True,False,73,0
transport with wheels,public transport,"['golf cart', 'bus']",bus,bus,yes,yes,True,True,False,73,1
transport with wheels,public transport,"['bicycle', 'train']",bus,bus,yes,yes,True,True,False,73,2
transport with wheels,public transport,"['stroller', 'bicycle']",bicycle,bicycle,yes,yes,True,True,False,73,3
transport with wheels,public transport,"['scooter', 'train']",tram,tram,yes,yes,True,True,False,73,4
yellow food,dessert,"['corn', 'custard']",ice cream,ice cream,no,no,True,False,True,74,0
yellow food,dessert,"['mustard', 'custard']",ice cream,ice cream,no,no,True,False,True,74,1
yellow food,dessert,"['pineapple', 'saffron']",ice cream,ice cream,no,no,True,False,True,74,2
yellow food,dessert,"['bell pepper', 'butter']",ice cream,ice cream,no,no,True,False,True,74,3
yellow food,dessert,"['cheese', 'mustard']",ice cream,ice cream,no,no,True,False,True,74,4
computer peripheral,office supply,"['speakers', 'stylus']",pencil,pencil,no,no,True,False,True,75,0
computer peripheral,office supply,"['flash drive', 'stylus']",paperclip,paperclip,no,no,True,False,True,75,1
computer peripheral,office supply,"['flash drive', 'speakers']",paperclip,paperclip,no,no,True,False,True,75,2
computer peripheral,office supply,"['external hard drive', 'flash drive']",notebook,notebook,no,no,True,False,True,75,3
computer peripheral,office supply,"['external hard drive', 'graphics tablet']",clipboard,clipboard,no,no,True,False,True,75,4
clothing brand,luxury brand,"['nike', 'under armour']",gucci,gucci,yes,yes,True,True,False,76,0
clothing brand,luxury brand,"['gap', 'adidas']",gucci,gucci,yes,yes,True,True,False,76,1
clothing brand,luxury brand,"[""levi's"", 'supreme']",louis vuitton,louis vuitton,yes,yes,True,True,False,76,2
clothing brand,luxury brand,"['supreme', 'nike']",louis vuitton,louis vuitton,yes,yes,True,True,False,76,3
clothing brand,luxury brand,"['nike', 'under armour']",louis vuitton,louis vuitton,yes,yes,True,True,False,76,4
french food,cheese,"['brie', 'ratatouille']",cheddar,cheddar,no,no,True,False,True,77,0
french food,cheese,"['crepe', 'coq au vin']",gouda,gouda,no,no,True,False,True,77,1
french food,cheese,"['quiche', 'foie gras']",swiss,swiss,no,no,True,False,True,77,2
french food,cheese,"['escargot', 'baguette']",brie,brie,yes,yes,True,True,False,77,3
french food,cheese,"['quiche', 'croissant']",ricotta,ricotta,no,no,True,False,True,77,4
mythological hero,constellation,"['hector', 'theseus']",polaris,polaris,no,no,True,False,True,78,0
mythological hero,constellation,"['gilgamesh', 'pollux']",pleiades,pleiades,no,no,True,False,True,78,1
mythological hero,constellation,"['pollux', 'aeneas']",aries,aries,no,no,True,False,True,78,2
mythological hero,constellation,"['beowulf', 'pollux']",polaris,polaris,no,no,True,False,True,78,3
mythological hero,constellation,"['orion', 'gilgamesh']",pisces,pisces,no,no,True,False,True,78,4
heavy machinery,farm equipment,"['skid steer', 'crane']",tractor,tractor,yes,yes,True,True,False,79,0
heavy machinery,farm equipment,"['dump truck', 'bulldozer']",tractor,tractor,yes,yes,True,True,False,79,1
heavy machinery,farm equipment,"['trencher', 'tractor']",mower,mower,no,no,True,False,True,79,2
heavy machinery,farm equipment,"['crane', 'dump truck']",tractor,tractor,yes,yes,True,True,False,79,3
heavy machinery,farm equipment,"['backhoe', 'tractor']",plow,plow,no,no,True,False,True,79,4
german brand,car brand,"['puma', 'bmw']",vw,vw,yes,yes,True,True,False,80,0
german brand,car brand,"['bmw', 'hugo boss']",fiat,fiat,no,no,True,False,True,80,1
german brand,car brand,"['aldi', 'bayer']",hyundai,hyundai,no,no,True,False,True,80,2
german brand,car brand,"['adidas', 'bayer']",renault,renault,no,no,True,False,True,80,3
german brand,car brand,"['sap', 'bosch']",audi,audi,yes,yes,True,True,False,80,4
hospital staff,medical profession,"['technician', 'anesthesiologist']",pharmacist,pharmacist,no,no,True,False,True,81,0
hospital staff,medical profession,"['technician', 'pediatrician']",radiologist,radiologist,yes,yes,True,True,False,81,1
hospital staff,medical profession,"['surgeon', 'technician']",radiologist,radiologist,yes,yes,True,True,False,81,2
hospital staff,medical profession,"['janitor', 'nurse']",nurse,nurse,yes,yes,True,True,False,81,3
hospital staff,medical profession,"['chaplain', 'anesthesiologist']",cardiologist,cardiologist,yes,yes,True,True,False,81,4
folk instrument,woodwind instrument,"['washboard', 'acoustic guitar']",clarinet,clarinet,yes,yes,True,True,False,82,0
folk instrument,woodwind instrument,"['tin whistle', 'recorder']",flute,flute,yes,yes,True,True,False,82,1
folk instrument,woodwind instrument,"['mandolin', 'hurdy gurdy']",flute,flute,yes,yes,True,True,False,82,2
folk instrument,woodwind instrument,"['dulcimer', 'harmonica']",bagpipes,bagpipes,yes,yes,True,True,False,82,3
folk instrument,woodwind instrument,"['bagpipes', 'recorder']",oboe,oboe,yes,yes,True,True,False,82,4
camping gear,rain gear,"['headlamp', 'waterproof jacket']",boots,boots,no,no,True,False,True,83,0
camping gear,rain gear,"['hiking boots', 'water filter']",raincoat,raincoat,no,no,True,False,True,83,1
camping gear,rain gear,"['water filter', 'poncho']",raincoat,raincoat,no,no,True,False,True,83,2
camping gear,rain gear,"['lantern', 'poncho']",raincoat,raincoat,no,no,True,False,True,83,3
camping gear,rain gear,"['compass', 'folding chair']",raincoat,raincoat,no,no,True,False,True,83,4
soup,noodle dish,"['laksa', 'clam chowder']",pad thai,pad thai,no,no,True,False,True,84,0
soup,noodle dish,"['pho', 'udon']",ramen,ramen,yes,yes,True,True,False,84,1
soup,noodle dish,"['miso', 'udon']",ramen,ramen,yes,yes,True,True,False,84,2
soup,noodle dish,"['clam chowder', 'lentil soup']",udon,udon,no,no,True,False,True,84,3
soup,noodle dish,"['clam chowder', 'chicken noodle']",ramen,ramen,yes,yes,True,True,False,84,4
metal,chemical element,"['electrum', 'steel']",gold,gold,yes,yes,True,True,False,85,0
metal,chemical element,"['electrum', 'sterling silver']",platinum,platinum,yes,yes,True,True,False,85,1
metal,chemical element,"['duralumin', 'cast iron']",oxygen,oxygen,no,no,True,False,True,85,2
metal,chemical element,"['electrum', 'brass']",gold,gold,yes,yes,True,True,False,85,3
metal,chemical element,"['duralumin', 'cast iron']",gold,gold,yes,yes,True,True,False,85,4
spanish speaking country,south american country,"['peru', 'colombia']",brazil,brazil,no,no,True,False,True,86,0
spanish speaking country,south american country,"['nicaragua', 'venezuela']",bolivia,bolivia,yes,yes,True,True,False,86,1
spanish speaking country,south american country,"['panama', 'spain']",bolivia,bolivia,yes,yes,True,True,False,86,2
spanish speaking country,south american country,"['venezuela', 'mexico']",bolivia,bolivia,yes,yes,True,True,False,86,3
spanish speaking country,south american country,"['spain', 'guatemala']",bolivia,bolivia,yes,yes,True,True,False,86,4
venomous animal,australian animal,"['rattlesnake', 'black widow']",kangaroo,kangaroo,no,no,True,False,True,87,0
venomous animal,australian animal,"['wasp', 'platypus']",kangaroo,kangaroo,no,no,True,False,True,87,1
venomous animal,australian animal,"['inland taipan', 'lionfish']",kangaroo,kangaroo,no,no,True,False,True,87,2
venomous animal,australian animal,"['bee', 'cobra']",kangaroo,kangaroo,no,no,True,False,True,87,3
venomous animal,australian animal,"['cobra', 'funnel-web spider']",kangaroo,kangaroo,no,no,True,False,True,87,4
salty snack,movie theater food,"['mixed nuts', 'sunflower seeds']",popcorn,popcorn,yes,yes,True,True,False,88,0
salty snack,movie theater food,"['cheese puffs', 'pork rinds']",popcorn,popcorn,yes,yes,True,True,False,88,1
salty snack,movie theater food,"['crackers', 'popcorn']",popcorn,popcorn,yes,yes,True,True,False,88,2
salty snack,movie theater food,"['popcorn', 'peanuts']",popcorn,popcorn,yes,yes,True,True,False,88,3
salty snack,movie theater food,"['trail mix', 'mixed nuts']",popcorn,popcorn,yes,yes,True,True,False,88,4
tech giant,streaming service,"['adobe', 'cisco']",netflix,netflix,no,no,True,False,True,89,0
tech giant,streaming service,"['amazon', 'microsoft']",hulu,hulu,no,no,True,False,True,89,1
tech giant,streaming service,"['adobe', 'netflix']",twitch,twitch,no,no,True,False,True,89,2
tech giant,streaming service,"['intel', 'adobe']",netflix,netflix,no,no,True,False,True,89,3
tech giant,streaming service,"['oracle', 'amazon']",hulu,hulu,no,no,True,False,True,89,4
flightless bird,antarctic animal,"['gentoo penguin', 'chinstrap penguin']",icefish,icefish,no,no,True,False,True,90,0
flightless bird,antarctic animal,"['emperor penguin', 'takahe']",penguin,penguin,yes,yes,True,True,False,90,1
flightless bird,antarctic animal,"['adelie penguin', 'takahe']",polar bear,polar bear,no,no,True,False,True,90,2
flightless bird,antarctic animal,"['emperor penguin', 'kiwi']",penguin,penguin,yes,yes,True,True,False,90,3
flightless bird,antarctic animal,"['chinstrap penguin', 'kiwi']",penguin,penguin,yes,yes,True,True,False,90,4
school subject,craft,"['pottery', 'geography']",pottery,pottery,no,no,True,False,True,91,0
school subject,craft,"['biology', 'physics']",weaving,weaving,no,no,True,False,True,91,1
school subject,craft,"['sewing', 'biology']",knitting,knitting,no,no,True,False,True,91,2
school subject,craft,"['chemistry', 'geography']",crochet,crochet,no,no,True,False,True,91,3
school subject,craft,"['math', 'ceramics']",weaving,weaving,no,no,True,False,True,91,4
houseplant,succulent,"['haworthia', 'calathea']",sedum,sedum,yes,yes,True,True,False,92,0
houseplant,succulent,"['philodendron', 'fern']",cactus,cactus,yes,yes,True,True,False,92,1
houseplant,succulent,"['rubber plant', 'jade plant']",jade vine,jade vine,no,no,True,False,True,92,2
houseplant,succulent,"['rubber plant', 'philodendron']",kalanchoe,kalanchoe,yes,yes,True,True,False,92,3
houseplant,succulent,"['haworthia', 'snake plant']",kalanchoe,kalanchoe,yes,yes,True,True,False,92,4
uniformed profession,medical profession,"['firefighter', 'doctor']",nurse,nurse,yes,yes,True,True,False,93,0
uniformed profession,medical profession,"['security guard', 'nurse']",doctor,doctor,yes,yes,True,True,False,93,1
uniformed profession,medical profession,"['flight attendant', 'doctor']",pharmacist,pharmacist,no,no,True,False,True,93,2
uniformed profession,medical profession,"['mechanic', 'bus driver']",nurse,nurse,yes,yes,True,True,False,93,3
uniformed profession,medical profession,"['surgeon', 'chef']",nurse,nurse,yes,yes,True,True,False,93,4
watercraft,recreational vehicle,"['jet ski', 'kayak']",motorhome,motorhome,no,no,True,False,True,94,0
watercraft,recreational vehicle,"['cargo ship', 'ferry']",motorhome,motorhome,no,no,True,False,True,94,1
watercraft,recreational vehicle,"['jet ski', 'pontoon boat']",boat,boat,yes,yes,True,True,False,94,2
watercraft,recreational vehicle,"['galleon', 'trawler']",motorhome,motorhome,no,no,True,False,True,94,3
watercraft,recreational vehicle,"['barge', 'kayak']",boat,boat,yes,yes,True,True,False,94,4
dietary supplement,mineral,"['probiotics', 'creatine']",quartz,quartz,no,no,True,False,True,95,0
dietary supplement,mineral,"['ginseng', 'vitamin c']",quartz,quartz,no,no,True,False,True,95,1
dietary supplement,mineral,"['ginseng', 'protein powder']",quartz,quartz,no,no,True,False,True,95,2
dietary supplement,mineral,"['iron', 'ashwagandha']",quartz,quartz,no,no,True,False,True,95,3
dietary supplement,mineral,"['probiotics', 'potassium']",quartz,quartz,no,no,True,False,True,95,4
green fruit,salad ingredient,"['breadfruit', 'honeydew']",spinach,spinach,no,no,True,False,True,96,0
green fruit,salad ingredient,"['green tomato', 'gooseberry']",onion,onion,no,no,True,False,True,96,1
green fruit,salad ingredient,"['zucchini', 'gooseberry']",cucumber,cucumber,no,no,True,False,True,96,2
green fruit,salad ingredient,"['green apple', 'green grape']",lettuce,lettuce,no,no,True,False,True,96,3
green fruit,salad ingredient,"['avocado', 'green grape']",tomato,tomato,no,no,True,False,True,96,4
bird of prey,scavenger,"['hawk', 'merlin']",hawk,hawk,yes,yes,True,True,False,97,0
bird of prey,scavenger,"['sparrowhawk', 'vulture']",spider,spider,no,no,True,False,True,97,1
bird of prey,scavenger,"['kite', 'sparrowhawk']",kite,kite,no,no,True,False,True,97,2
bird of prey,scavenger,"['kite', 'caracara']",kite,kite,no,no,True,False,True,97,3
bird of prey,scavenger,"['hawk', 'kestrel']",hawk,hawk,yes,yes,True,True,False,97,4
brass instrument,jazz instrument,"['euphonium', 'trumpet']",trumpet,trumpet,yes,yes,True,True,False,98,0
brass instrument,jazz instrument,"['serpent', 'bugle']",trumpet,trumpet,yes,yes,True,True,False,98,1
brass instrument,jazz instrument,"['mellophone', 'sackbut']",trumpet,trumpet,yes,yes,True,True,False,98,2
brass instrument,jazz instrument,"['vuvuzela', 'mellophone']",trumpet,trumpet,yes,yes,True,True,False,98,3
brass instrument,jazz instrument,"['serpent', 'trumpet']",trumpet,trumpet,yes,yes,True,True,False,98,4
european country,nato member,"['italy', 'monaco']",montenegro,montenegro,yes,yes,True,True,False,99,0
european country,nato member,"['switzerland', 'austria']",bulgaria,bulgaria,yes,yes,True,True,False,99,1
european country,nato member,"['ukraine', 'andorra']",denmark,denmark,no,no,True,False,True,99,2
european country,nato member,"['switzerland', 'finland']",norway,norway,no,no,True,False,True,99,3
european country,nato member,"['finland', 'andorra']",norway,norway,no,no,True,False,True,99,4
gym equipment,home workout equipment,"['rowing machine', 'leg press']",treadmill,treadmill,yes,yes,True,True,False,100,0
gym equipment,home workout equipment,"['rowing machine', 'foam roller']",cardio machine,cardio machine,yes,yes,True,True,False,100,1
gym equipment,home workout equipment,"['smith machine', 'kettlebell']",treadmill,treadmill,yes,yes,True,True,False,100,2
gym equipment,home workout equipment,"['stair climber', 'smith machine']",exercise bike,exercise bike,yes,yes,True,True,False,100,3
gym equipment,home workout equipment,"['bench press', 'leg press']",treadmill,treadmill,yes,yes,True,True,False,100,4
kitchen appliance,smart home device,"['waffle iron', 'juicer']",smart lock,smart lock,no,no,True,False,True,101,0
kitchen appliance,smart home device,"['toaster', 'electric kettle']",coffee machine,coffee machine,yes,yes,True,True,False,101,1
kitchen appliance,smart home device,"['electric kettle', 'toaster']",thermostat,thermostat,no,no,True,False,True,101,2
kitchen appliance,smart home device,"['toaster', 'juicer']",oven,oven,yes,yes,True,True,False,101,3
kitchen appliance,smart home device,"['electric kettle', 'rice cooker']",smart lock,smart lock,no,no,True,False,True,101,4
pasta shape,italian food,"['fettuccine', 'tortellini']",pasta,pasta,no,no,True,False,True,102,0
pasta shape,italian food,"['rotini', 'penne']",lasagna,lasagna,no,no,True,False,True,102,1
pasta shape,italian food,"['orzo', 'rotini']",spaghetti,spaghetti,yes,yes,True,True,False,102,2
pasta shape,italian food,"['ziti', 'rigatoni']",lasagna,lasagna,no,no,True,False,True,102,3
pasta shape,italian food,"['rotini', 'rigatoni']",pizza,pizza,no,no,True,False,True,102,4
dog breed,working dog,"['shih tzu', 'poodle']",labrador,labrador,yes,yes,True,True,False,103,0
dog breed,working dog,"['bulldog', 'great dane']",poodle,poodle,yes,yes,True,True,False,103,1
dog breed,working dog,"['chihuahua', 'bulldog']",corgi,corgi,yes,yes,True,True,False,103,2
dog breed,working dog,"['rottweiler', 'husky']",collie,collie,yes,yes,True,True,False,103,3
dog breed,working dog,"['bulldog', 'husky']",poodle,poodle,yes,yes,True,True,False,103,4
social media platform,messaging app,"['linkedin', 'tiktok']",tiktok,tiktok,yes,yes,True,True,False,104,0
social media platform,messaging app,"['twitter', 'facebook']",whatsapp,whatsapp,no,no,True,False,True,104,1
social media platform,messaging app,"['pinterest', 'youtube']",whatsapp,whatsapp,no,no,True,False,True,104,2
social media platform,messaging app,"['instagram', 'bluesky']",blue sky,blue sky,no,no,True,False,True,104,3
social media platform,messaging app,"['youtube', 'linkedin']",youtube,youtube,no,no,True,False,True,104,4
freshwater fish,game fish,"['muskie', 'crappie']",salmon,salmon,yes,yes,True,True,False,105,0
freshwater fish,game fish,"['guppy', 'catfish']",pike,pike,yes,yes,True,True,False,105,1
freshwater fish,game fish,"['carp', 'goldfish']",trout,trout,yes,yes,True,True,False,105,2
freshwater fish,game fish,"['tilapia', 'guppy']",snapper,snapper,yes,yes,True,True,False,105,3
freshwater fish,game fish,"['bluegill', 'muskie']",pike,pike,yes,yes,True,True,False,105,4
programming language,web technology,"['ruby', 'c++']",javascript,javascript,yes,yes,True,True,False,106,0
programming language,web technology,"['kotlin', 'java']",javascript,javascript,yes,yes,True,True,False,106,1
programming language,web technology,"['php', 'go']",html,html,no,no,True,False,True,106,2
programming language,web technology,"['typescript', 'swift']",javascript,javascript,yes,yes,True,True,False,106,3
programming language,web technology,"['python', 'kotlin']",javascript,javascript,yes,yes,True,True,False,106,4
comic book hero,avenger,"['invincible', 'hulk']",ironman,ironman,yes,yes,True,True,False,107,0
comic book hero,avenger,"['green lantern', 'aquaman']",hulk,hulk,yes,yes,True,True,False,107,1
comic book hero,avenger,"['spider-man', 'iron man']",hulk,hulk,yes,yes,True,True,False,107,2
comic book hero,avenger,"['captain america', 'iron man']",hulk,hulk,yes,yes,True,True,False,107,3
comic book hero,avenger,"['superman', 'wonder woman']",thanos,thanos,no,no,True,False,True,107,4
herbivore,farm animal,"['panda', 'elephant']",pig,pig,no,no,True,False,True,108,0
herbivore,farm animal,"['elephant', 'rabbit']",pig,pig,no,no,True,False,True,108,1
herbivore,farm animal,"['zebra', 'sheep']",cow,cow,yes,yes,True,True,False,108,2
herbivore,farm animal,"['deer', 'goat']",pig,pig,no,no,True,False,True,108,3
herbivore,farm animal,"['koala', 'panda']",chicken,chicken,no,no,True,False,True,108,4
footwear brand,sports brand,"['adidas', 'reebok']",nike,nike,yes,yes,True,True,False,109,0
footwear brand,sports brand,"['crocs', 'steve madden']",nike,nike,yes,yes,True,True,False,109,1
footwear brand,sports brand,"['ugg', 'skechers']",nike,nike,yes,yes,True,True,False,109,2
footwear brand,sports brand,"['reebok', 'skechers']",nike,nike,yes,yes,True,True,False,109,3
footwear brand,sports brand,"['skechers', 'birkenstock']",nike,nike,yes,yes,True,True,False,109,4
nut,baking ingredient,"['almond', 'tiger nut']",flour,flour,no,no,True,False,True,110,0
nut,baking ingredient,"['pecan', 'tiger nut']",flour,flour,no,no,True,False,True,110,1
nut,baking ingredient,"['hickory nut', 'cashew']",flour,flour,no,no,True,False,True,110,2
nut,baking ingredient,"['butternut', 'chestnut']",flour,flour,no,no,True,False,True,110,3
nut,baking ingredient,"['hazelnut', 'hickory nut']",flour,flour,no,no,True,False,True,110,4
martial art,olympic sport,"['boxing', 'wrestling']",gymnastics,gymnastics,no,no,True,False,True,111,0
martial art,olympic sport,"['tai chi', 'krav maga']",rowing,rowing,no,no,True,False,True,111,1
martial art,olympic sport,"['wrestling', 'judo']",rowing,rowing,no,no,True,False,True,111,2
martial art,olympic sport,"['aikido', 'jiu jitsu']",boxing,boxing,yes,yes,True,True,False,111,3
martial art,olympic sport,"['kendo', 'taekwondo']",rowing,rowing,no,no,True,False,True,111,4
software application,google product,"['youtube', 'blender']",google drive,google drive,no,no,True,False,True,112,0
software application,google product,"['google drive', 'youtube']",google docs,google docs,yes,yes,True,True,False,112,1
software application,google product,"['gmail', 'youtube']",google docs,google docs,yes,yes,True,True,False,112,2
software application,google product,"['microsoft word', 'gmail']",google drive,google drive,no,no,True,False,True,112,3
software application,google product,"['photoshop', 'unity']",google docs,google docs,yes,yes,True,True,False,112,4
condiment,sandwich ingredient,"['salsa', 'vinegar']",peanut butter,peanut butter,no,no,True,False,True,113,0
condiment,sandwich ingredient,"['mustard', 'ketchup']",mayo,mayo,yes,yes,True,True,False,113,1
condiment,sandwich ingredient,"['hot sauce', 'mayo']",corn,corn,no,no,True,False,True,113,2
condiment,sandwich ingredient,"['mustard', 'relish']",tomato,tomato,no,no,True,False,True,113,3
condiment,sandwich ingredient,"['ketchup', 'mayo']",ham,ham,no,no,True,False,True,113,4
amphibian,swamp animal,"['natterjack', 'hellbender']",alligator,alligator,no,no,True,False,True,114,0
amphibian,swamp animal,"['natterjack', 'salamander']",frog,frog,yes,yes,True,True,False,114,1
amphibian,swamp animal,"['tree frog', 'axolotl']",crocodile,crocodile,no,no,True,False,True,114,2
amphibian,swamp animal,"['tree frog', 'axolotl']",alligator,alligator,no,no,True,False,True,114,3
amphibian,swamp animal,"['poison dart frog', 'frog']",alligator,alligator,no,no,True,False,True,114,4
gemstone,color,"['quartz', 'diamond']",purple,purple,no,no,True,False,True,115,0
gemstone,color,"['quartz', 'jade']",grey,grey,no,no,True,False,True,115,1
gemstone,color,"['opal', 'pearl']",maroon,maroon,no,no,True,False,True,115,2
gemstone,color,"['emerald', 'onyx']",ivory,ivory,no,no,True,False,True,115,3
gemstone,color,"['turquoise', 'quartz']",blue,blue,no,no,True,False,True,115,4
